Season No;Episode No;Episode Name;Character Name;Dialogue
3;1;The Rickshank Rickdemption;Rick;Anyway, that's how I escaped from space prison! Oh, scary place.
3;1;The Rickshank Rickdemption;Morty;Wow, Rick! That's -- That's one -- one heck of a story. I sure do wish I could have been there to see it happen.
3;1;The Rickshank Rickdemption;Rick;Oh, come on. Who wants to watch a mad scientist use handmade sci-fi tools to take out highly trained alien guards when we can sit here and be a family at Shoney's?
3;1;The Rickshank Rickdemption;Beth;Dad, it's great to have you back, no matter where we are, but wouldn't you like to go home?
3;1;The Rickshank Rickdemption;Rick;Emotionally speaking, honey, Shoney's is my home.
3;1;The Rickshank Rickdemption;Jerry;Yeah, but you just got out of prison. I mean, how much of a step up from that is --
3;1;The Rickshank Rickdemption;Rick;Jerry, get out of the booth, take all your clothes off, and fold yourself 12 times.
3;1;The Rickshank Rickdemption;Jerry;You got it. 
3;1;The Rickshank Rickdemption;Rick;Six folds, huh? W-W-What, have you guys got me in a Series 9000? You cheap insect fucks didn't think I was worth your best equipment?
3;1;The Rickshank Rickdemption;Cornvelious Daniel;" Man, I told the money bugs. I said, You know who this guy is, right? You want me to get intel out of the smartest mammal in the galaxy, you better give me a decent brainalyzer."""
3;1;The Rickshank Rickdemption;Rick;Well, you might as well order some pancakes, because I don't see the need to leave this part of my brain.
3;1;The Rickshank Rickdemption;Cornvelious Daniel;Oh, I think you do. Eventually, you're either gonna relax your cerebellum.
3;1;The Rickshank Rickdemption;Rick;Shoney's.
3;1;The Rickshank Rickdemption;Cornvelious Daniel;Or the Series 9000 is going to turn it into mush.
3;1;The Rickshank Rickdemption;Rick;Relaxed enough? 
3;1;The Rickshank Rickdemption;Cornvelious Daniel;I admire you, Rick--
3;1;The Rickshank Rickdemption;Cornvelious Daniel;When I-- 
3;1;The Rickshank Rickdemption;Cornvelious Daniel;Rick, here's-- 
3;1;The Rickshank Rickdemption;Gromflomite Captain;What's going on?
3;1;The Rickshank Rickdemption;Gromflomite Worker;It's hard to tell. He may have manifested some sort of butt.
3;1;The Rickshank Rickdemption;Gromflomite Captain;He can do that?
3;1;The Rickshank Rickdemption;Gromflomite Worker;He is the smartest man in the universe.
3;1;The Rickshank Rickdemption;Jerry; I tell ya, the Galactic Federation taking over Earth -- best thing that's ever happened to this family. I just got my sixth promotion this week, and I still don't know what I do.
3;1;The Rickshank Rickdemption;Summer;Who cares how high they promote you? Everyone just gets paid in pills.
3;1;The Rickshank Rickdemption;Jerry;Well, when you're not sure what you do for a living, you can make your own rules.
3;1;The Rickshank Rickdemption;Beth;Summer, show your father some respect. He's pulling down a six-chewable figure income.
3;1;The Rickshank Rickdemption;Conroy;I'll get that in a moment. How are everyone's pills? Oh, Morty, you've hardly touched your pills.
3;1;The Rickshank Rickdemption;Morty;I kind of had big pills for lunch, and I  wasn't gonna eat any more pills.  Thank you, Conroy.
3;1;The Rickshank Rickdemption;Jerry;You spoil us, Conroy.
3;1;The Rickshank Rickdemption;Summer; Grandpa Rick wouldn't put up with this!
3;1;The Rickshank Rickdemption;Beth; Stop saying his name! He abandoned us.
3;1;The Rickshank Rickdemption;Jerry; Willem Dafoe! Th-That's the guy I couldn't think of this morning.
